Name,Team,Annual Salary(£),Year
Giroud,Arsenal FC,2860000,2017
Niasse,Everton FC,2860000,2017
Van Aanholt,Crystal Palace,2860000,2017
Klavan,Liverpool FC,2860000,2017
Cresswell,West Ham United,2600000,2017
Lennon,Everton FC,2600000,2017
Fuchs,Leicester City,2600000,2017
Paulista,Arsenal FC,2600000,2017
Imbula,Stoke City,2600000,2017
Bellerin,Arsenal FC,2600000,2017
McArthur,Crystal Palace,2600000,2017
McCarthy,Everton FC,2600000,2017
Tomkins,Crystal Palace,2600000,2017
Allen,Stoke City,2600000,2017
Ayew,Swansea City,2600000,2017
Clasie,Southampton FC,2600000,2017
Iheanacho,Manchester City,2600000,2017
Fabianski,Swansea City,2600000,2017
Noble,West Ham United,2600000,2017
Arnautovic,Stoke City,2600000,2017
Zarate,Watford FC,2600000,2017
Mendy,Leicester City,2600000,2017
Obiang,West Ham United,2600000,2017
Jagielka,Everton FC,2600000,2017
Hojbjerg,Southampton FC,2600000,2017
Zieler,Leicester City,2600000,2017
Krul,Newcastle United,2600000,2017
Cleverley,Everton FC,2600000,2017
Krkic,Stoke City,2496000,2017
Deulofeu,Everton FC,2496000,2017
Barkley,Everton FC,2496000,2017
Livermore,West Bromwich Albion,2392000,2017
Gibbs,Arsenal FC,2392000,2017
Perez,Newcastle United,2340000,2017
Chambers,Arsenal FC,2340000,2017
Jenkinson,Arsenal FC,2340000,2017
Brunt,West Bromwich Albion,2340000,2017
Simpson,Leicester City,2340000,2017
Janmaat,Watford FC,2340000,2017
Can,Liverpool FC,2340000,2017
Fazio,Tottenham Hotspur,2340000,2017
Baston,Swansea City,2340000,2017
Gueye,Everton FC,2340000,2017
Ward-Prowse,Southampton FC,2340000,2017
King,AFC Bournemouth,2340000,2017
Wimmer,Tottenham Hotspur,2340000,2017
Fer,Swansea City,2340000,2017
Albrighton,Leicester City,2340000,2017
Moreno,Manchester City,2340000,2017
Ritchie,Newcastle United,2340000,2017
Darmian,Manchester United,2340000,2017
Diame,Newcastle United,2340000,2017
Amrabat,Watford FC,2340000,2017
Wollscheid,Stoke City,2340000,2017
Pereyra,Watford FC,2340000,2017
Shawcross,Stoke City,2340000,2017
Fernandez,Swansea City,2236000,2017
Zouma,Chelsea FC,2200000,2017
McGeady,Everton FC,2184000,2017
Behrami,Watford FC,2184000,2017
Moreno,Liverpool FC,2080000,2017
McCarthy,Southampton FC,2080000,2017
King,Leicester City,2080000,2017
Kone,Everton FC,2080000,2017
Masuaku,West Ham United,2080000,2017
Boruc,AFC Bournemouth,2080000,2017
Ospina,Arsenal FC,2080000,2017
Gayle,Newcastle United,2080000,2017
Valencia,Everton FC,2080000,2017
Morrison,West Bromwich Albion,2080000,2017
Pied,Southampton FC,2080000,2017
Suarez,Watford FC,2080000,2017
Phillips,West Bromwich Albion,2080000,2017
Vorm,Tottenham Hotspur,2080000,2017
Bentaleb,Tottenham Hotspur,2080000,2017
Crouch,Stoke City,2080000,2017
Funes Mori,Everton FC,2080000,2017
Snodgrass,West Ham United,2080000,2017
de Jong,Newcastle United,2080000,2017
Benalouane,Leicester City,2080000,2017
Njie,Tottenham Hotspur,1976000,2017
Pieters,Stoke City,1976000,2017
Ibe,AFC Bournemouth,1976000,2017
Huth,Leicester City,1976000,2017
Coleman,Everton FC,1976000,2017
Ki,Swansea City,1872000,2017
Routledge,Swansea City,1872000,2017
Nyom,West Bromwich Albion,1820000,2017
Christensen,Chelsea FC,1820000,2017
Surman,AFC Bournemouth,1820000,2017
Mbemba,Newcastle United,1820000,2017
Adam,Stoke City,1820000,2017
Clark,Newcastle United,1820000,2017
Rivière,Newcastle United,1820000,2017
Campbell,Crystal Palace,1820000,2017
McAuley,West Bromwich Albion,1820000,2017
N'Koudou,Tottenham Hotspur,1820000,2017
Saivet,Newcastle United,1820000,2017
Butland,Stoke City,1820000,2017
Colback,Newcastle United,1820000,2017
Cork,Swansea City,1820000,2017
Collins,Brentford FC,1820000,2017
Puncheon,Crystal Palace,1820000,2017
Hendrick,Burnley FC,1820000,2017
Gamez,Newcastle United,1820000,2017
Ward,Crystal Palace,1820000,2017
Kodjia,Aston Villa,1820000,2017
Trippier,Tottenham Hotspur,1820000,2017
Markovic,Liverpool FC,1820000,2017
Britton,Swansea City,1820000,2017
Dunk,Brighton & Hove Albion,1820000,2017
Flamini,Crystal Palace,1820000,2017
Sels,Newcastle United,1820000,2017
Brady,Burnley FC,1820000,2017
Loftus-Cheek,Chelsea FC,1820000,2017
Okazaki,Leicester City,1820000,2017
Okaka,Watford FC,1820000,2017
Defour,Burnley FC,1820000,2017
Carroll,Swansea City,1820000,2017
Heaton,Burnley FC,1820000,2017
Anita,Newcastle United,1820000,2017
Gouffran,Newcastle United,1820000,2017
Kaboul,Watford FC,1820000,2017
Capoue,Watford FC,1820000,2017
Janssen,Tottenham Hotspur,1768000,2017
Flanagan,Liverpool FC,1716000,2017
Mato,Stoke City,1716000,2017
Muniesa,Stoke City,1716000,2017
Olsson,Swansea City,1716000,2017
Ireland,Stoke City,1716000,2017
Lallana,Liverpool FC,1690000,2017
Costa,Wolverhampton Wanderers,1690000,2017
Rangel,Swansea City,1664000,2017
Naughton,Swansea City,1664000,2017
Dyer,Swansea City,1664000,2017
Westwood,Burnley FC,1612000,2017
Bardsley,Stoke City,1612000,2017
Mooy,Huddersfield Town,1560000,2017
Bogdan,Liverpool FC,1560000,2017
Federici,AFC Bournemouth,1560000,2017
Iwobi,Arsenal FC,1560000,2017
Kapustka,Leicester City,1560000,2017
Saltor Grau,Brighton & Hove Albion,1560000,2017
Wilson,AFC Bournemouth,1560000,2017
Kouyate,West Ham United,1560000,2017
Kabasele,Watford FC,1560000,2017
Dawson,West Bromwich Albion,1560000,2017
Yedlin,Newcastle United,1560000,2017
Sakho,West Ham United,1560000,2017
Fernandes,West Ham United,1560000,2017
Gardos,Southampton FC,1560000,2017
Johnson,Stoke City,1560000,2017
Murray,Brighton & Hove Albion,1560000,2017
Hanley,Newcastle United,1560000,2017
Nordtveit,West Ham United,1560000,2017
Success,Watford FC,1560000,2017
Chester,Aston Villa,1560000,2017
McClean,West Bromwich Albion,1560000,2017
Montero,Swansea City,1560000,2017
Campbell,Arsenal FC,1560000,2017
Amat,Swansea City,1560000,2017
Holebas,Watford FC,1560000,2017
Grant,Stoke City,1560000,2017
Cook,AFC Bournemouth,1560000,2017
Narsingh,Swansea City,1560000,2017
Stekelenburg,Everton FC,1560000,2017
Wilson,AFC Bournemouth,1560000,2017
Besic,Everton FC,1560000,2017
Souare,Crystal Palace,1560000,2017
Byram,West Ham United,1560000,2017
Duffy,Brighton & Hove Albion,1560000,2017
Francis,AFC Bournemouth,1560000,2017
Grabban,AFC Bournemouth,1508000,2017
Mee,Brentford FC,1456000,2017
McManaman,West Bromwich Albion,1456000,2017
Origi,Liverpool FC,1456000,2017
Whelan,Stoke City,1456000,2017
Berg Gudmundsson,Burnley FC,1456000,2017
Mutch,Crystal Palace,1456000,2017
Garbutt,Everton FC,1456000,2017
Yoshida,Southampton FC,1456000,2017
Dummett,Newcastle United,1456000,2017
Ward,Burnley FC,1456000,2017
Cavaleiro,Wolverhampton Wanderers,1450000,2017
van Ginkel,Chelsea FC,1450000,2017
Afobe,AFC Bournemouth,1404000,2017
Tore,West Ham United,1404000,2017
Ulloa,Leicester City,1404000,2017
Fraser,AFC Bournemouth,1404000,2017
Myhill,West Bromwich Albion,1352000,2017
Mawson,Swansea City,1300000,2017
Gray,Burnley FC,1300000,2017
Barnes,Burnley FC,1300000,2017
Kayal,Brighton & Hove Albion,1300000,2017
Smith,AFC Bournemouth,1300000,2017
Zuculini,Manchester City,1300000,2017
Daniels,AFC Bournemouth,1300000,2017
Lee,Crystal Palace,1300000,2017
Pantilimon,Watford FC,1300000,2017
Delaney,Crystal Palace,1300000,2017
Murphy,Newcastle United,1300000,2017
Gray,Leicester City,1300000,2017
Winks,Tottenham Hotspur,1300000,2017
Gomes,Watford FC,1300000,2017
Afellay,Stoke City,1300000,2017
Denayer,Manchester City,1300000,2017
Ledley,Crystal Palace,1300000,2017
Walters,Stoke City,1300000,2017
Speroni,Crystal Palace,1300000,2017
Darlow,Newcastle United,1300000,2017
Nordfeldt,Swansea City,1300000,2017
Karius,Liverpool FC,1300000,2017
Pugh,AFC Bournemouth,1300000,2017
Kelly,Crystal Palace,1300000,2017
Holgate,Everton FC,1300000,2017
James,Leicester City,1300000,2017
Antonio,West Ham United,1300000,2017
Britos,Watford FC,1300000,2017
Elliot,Newcastle United,1300000,2017
Holding,Arsenal FC,1300000,2017
Kenedy,Chelsea FC,1300000,2017
March,Brighton & Hove Albion,1300000,2017
Wisdom,Liverpool FC,1196000,2017
Galloway,Everton FC,1196000,2017
Wasilewski,Leicester City,1196000,2017
Pasalic,Chelsea FC,1196000,2017
Gradel,AFC Bournemouth,1196000,2017
Sobhi,Stoke City,1196000,2017
Arfield,Burnley FC,1196000,2017
Kalas,Chelsea FC,1196000,2017
Marney,Burnley FC,1144000,2017
Hayden,Newcastle United,1144000,2017
Tarkowski,Burnley FC,1144000,2017
Keane,Burnley FC,1144000,2017
Saiss,Wolverhampton Wanderers,1144000,2017
Berghuis,Watford FC,1144000,2017
Amartey,Leicester City,1092000,2017
Ake,Chelsea FC,1042153,2017
Doucouré,Watford FC,1040000,2017
Pereira,Manchester United,1040000,2017
Dja Djédjé,Watford FC,1040000,2017
Carter-Vickers,Tottenham Hotspur,1040000,2017
Akpom,Arsenal FC,1040000,2017
Goldson,Brighton & Hove Albion,1040000,2017
Gosling,AFC Bournemouth,1040000,2017
Martinez,Arsenal FC,1040000,2017
Boyd,Burnley FC,1040000,2017
Arter,AFC Bournemouth,1040000,2017
Brown,Huddersfield Town,1040000,2017
Wilson,Manchester United,1040000,2017
Murphy,Brighton & Hove Albion,1040000,2017
Sinclair,Watford FC,1040000,2017
Skalak,Brighton & Hove Albion,1040000,2017
Robles,Everton FC,1040000,2017
Palmer,Huddersfield Town,1040000,2017
Omeruo,Chelsea FC,1040000,2017
Baker,Chelsea FC,1040000,2017
Rosenior,Brighton & Hove Albion,1040000,2017
Mousset,AFC Bournemouth,1040000,2017
Rashford,Mancherst United,1040000,2017
Haidara,Newcastle United,1040000,2017
Aina,Chelsea FC,1040000,2017
Zinchenko,Manchester City,1040000,2017
Ameobi,Newcastle United,1040000,2017
Scannell,Huddersfield Town,1040000,2017
Prodl,Watford FC,1040000,2017
Hemed,Brighton & Hove Albion,1040000,2017
Hunemeier,Brighton & Hove Albion,1040000,2017
Hennessey,Crystal Palace,1040000,2017
Sanogo,Arsenal FC,1040000,2017
Fryers,Crystal Palace,1040000,2017
Ward,Huddersfield Town,936000,2017
Hesketh,Southampton FC,936000,2017
Sims,Southampton FC,936000,2017
Gazzaniga,Southampton FC,936000,2017
McQueen,Southampton FC,936000,2017
Smith,AFC Bournemouth,910000,2017
Ndidi,Leicester City,910000,2017
Hogan,Aston Villa,910000,2017
Martins Indi,Stoke City,884000,2017
Hector,Chelsea FC,884000,2017
Vokes,Burnley FC,884000,2017
Quaner,Huddersfield Town,832000,2017
Stewart,Liverpool FC,832000,2017
Piazón,Chelsea FC,832000,2017
Wiggins,AFC Bournemouth,832000,2017
Hoban,Watford FC,832000,2017
Mings,AFC Bournemouth,832000,2017
Stockdale,Brighton & Hove Albion,780000,2017
Henry,Brentford FC,780000,2017
Hyndman,AFC Bournemouth,780000,2017
Varela,Manchester United,780000,2017
Robson-Kanu,West Bromwich Albion,780000,2017
Lascelles,Newcastle United,780000,2017
Gorenc-Stankovic,Huddersfield Town,780000,2017
Gomez,Liverpool FC,780000,2017
Williams,Crystal Palace,780000,2017
Carlos Paredes,Watford FC,780000,2017
Stanislas,AFC Bournemouth,780000,2017
Bartley,Swansea City,780000,2017
Grujic,Liverpool FC,780000,2017
Miazga,Chelsea FC,780000,2017
van der Hoorn,Swansea City,780000,2017
Barrow,Swansea City,780000,2017
Hennings,Burnley FC,780000,2017
Sobrino,Manchester City,780000,2017
Tarashaj,Everton FC,780000,2017
Fosu-Mensah,Manchester United,780000,2017
Pilkington,Cardiff City,728000,2017
Long,Burnley FC,728000,2017
Aarons,Newcastle United,728000,2017
Kebano,Fulham FC,700000,2017
Cathcart,Watford FC,676000,2017
O'Kane,Luton Town,676000,2017
Oulare,Watford FC,676000,2017
Cook,AFC Bournemouth,676000,2017
Richards,Cardiff City,675000,2017
Hamer,Leicester City,624000,2017
Good,Newcastle United,624000,2017
Ulvestad,Burnley FC,624000,2017
Reed,Southampton FC,624000,2017
Payne,Huddersfield Town,624000,2017
Stephens,Southampton FC,624000,2017
Norwood,Brighton & Hove Albion,624000,2017
Gallagher,Southampton FC,624000,2017
Johnstone,Mancherst United,624000,2017
Alexander-Arnold,Liverpool FC,624000,2017
Lookman,Everton FC,598000,2017
Zohore,Cardiff City,572000,2017
Pope,Burnley FC,572000,2017
O'Keefe,Cardiff City,572000,2017
Borthwick-Jackson,Manchester United,520000,2017
Musonda,Chelsea FC,520000,2017
Atsu,Chelsea FC,520000,2017
Schindler,Huddersfield Town,520000,2017
Pogba,Manchester United,15080000,2018
Hazard,Chelsea FC,11700000,2018
Aguero,Manchester City,11440000,2018
Toure,Manchester City,11440000,2018
De Gea,Manchester United,10400000,2018
Lacazette,Arsenal FC,9467273,2018
Defoe,AFC Bournemouth,9380000,2018
Lukaku,Mancherst United,9360000,2018
Sanchez,Manchester United,9100000,2018
De Bruyne,Manchester City,9100000,2018
Ozil,Arsenal FC,9100000,2018
Morata,Chelsea FC,8840000,2018
Silva,Manchester City,8320000,2018
Mata,Manchester United,8320000,2018
Rooney,Everton FC,8320000,2018
Fàbregas,Chelsea FC,8112000,2018
Sterling,Manchester City,7800000,2018
Kompany,Manchester City,7800000,2018
Sanchez,Arsenal FC,7280000,2018
Gundogan,Manchester City,7280000,2018
Milner,Liverpool FC,7280000,2018
Chicharito Hernandez,West Ham United,7280000,2018
da Silva,Chelsea FC,7200000,2018
Sturridge,Liverpool FC,6760000,2018
Welbeck,Arsenal FC,6500000,2018
Ramsey,Arsenal FC,6240000,2018
Oxlade-Chamberlain,Liverpool FC,6240000,2018
Young,Mancherst United,6240000,2018
Silva,Manchester City,6240000,2018
Benteke,Crystal Palace,6240000,2018
Drinkwater,Chelsea FC,6240000,2018
Luiz,Chelsea FC,6240000,2018
Mkhitaryan,Arsenal FC,6240000,2018
Salah,Liverpool FC,6240000,2018
Kante,Chelsea FC,6240000,2018
Matic,Manchester United,6240000,2018
Otamendi,Manchester City,6240000,2018
Courtois,Chelsea FC,6240000,2018
Lindelof,Mancherst United,6240000,2018
Kolasinac,Arsenal FC,6214000,2018
Hart,Manchester City,6032000,2018
Herrera,Manchester United,5980000,2018
Martial,Mancherst United,5720000,2018
Shaw,Manchester United,5720000,2018
Rojo,Manchester United,5720000,2018
Bakayoko,Chelsea FC,5720000,2018
Rudiger,Chelsea FC,5200000,2018
Azpilicueta,Chelsea FC,5200000,2018
Lovren,Liverpool FC,5200000,2018
Mangala,Manchester City,5200000,2018
Luis Roza,Manchester City,5200000,2018
Cahill,Chelsea FC,5200000,2018
Sigurdsson,Everton FC,5200000,2018
Kane,Tottenham Hotspur,5200000,2018
Bellerin,Arsenal FC,5200000,2018
Lloris,Tottenham Hotspur,5200000,2018
Vardy,Leicester City,5200000,2018
Vertonghen,Tottenham Hotspur,5200000,2018
Matip,Liverpool FC,5200000,2018
Stones,Manchester City,5200000,2018
Henderson,Liverpool FC,5200000,2018
Walker,Manchester City,5200000,2018
Sakho,Crystal Palace,5200000,2018
Arnautovic,West Ham United,5200000,2018
Schneiderlin,Everton FC,5200000,2018
Rodríguez Ledesma,Chelsea FC,5200000,2018
Cech,Arsenal FC,5200000,2018
Mahrez,Leicester City,5200000,2018
Firmino,Liverpool FC,5200000,2018
Cazorla,Arsenal FC,5200000,2018
Zaha,Crystal Palace,5200000,2018
Carroll,West Ham United,4680000,2018
Mendy,Manchester City,4680000,2018
Wijnaldum,Liverpool FC,4680000,2018
Xhaka,Arsenal FC,4680000,2018
Wilshere,Arsenal FC,4680000,2018
Koscielny,Arsenal FC,4680000,2018
Sane,Manchester City,4680000,2018
Alonso,Chelsea FC,4680000,2018
Fellaini,Manchester United,4680000,2018
Batshuayi,Chelsea FC,4680000,2018
Mertesacker,Arsenal FC,4680000,2018
Aubameyang,Arsenal FC,4680000,2018
Mane,Liverpool FC,4680000,2018
Mustafi,Arsenal FC,4680000,2018
Van Dijk,Liverpool FC,4680000,2018
Bony,Swansea City,4680000,2018
Rahman,Chelsea FC,4472000,2018
Cabaye,Crystal Palace,4472000,2018
Valencia,Manchester United,4420000,2018
Son,Tottenham Hotspur,4420000,2018
Krychowiak,West Bromwich Albion,4264000,2018
Silva,Leicester City,4160000,2018
Bravo,Manchester City,4160000,2018
Luiz da Silva,Manchester City,4160000,2018
Bailly,Manchester United,4160000,2018
Lamela,Tottenham Hotspur,4160000,2018
Delph,Manchester City,4160000,2018
Slimani,Leicester City,4160000,2018
Schmeichel,Leicester City,4160000,2018
Gabbiadini,Southampton FC,4160000,2018
Carrick,Manchester United,4160000,2018
Sissoko,Tottenham Hotspur,4160000,2018
Berahino,Stoke City,4160000,2018
Alderweireld,Tottenham Hotspur,4160000,2018
Eriksen,Tottenham Hotspur,3900000,2018
Blind,Manchester United,3900000,2018
Ings,Liverpool FC,3900000,2018
Llorente,Tottenham Hotspur,3900000,2018
Jesus,Manchester City,3900000,2018
Lingard,Manchester United,3900000,2018
Fonte,West Ham United,3900000,2018
Debuchy,Arsenal FC,3900000,2018
Zabaleta,West Ham United,3900000,2018
Jones,Manchester United,3900000,2018
Moses,Chelsea FC,3900000,2018
Bolasie,Everton FC,3900000,2018
Gray,Watford FC,3640000,2018
Ogbonna,West Ham United,3640000,2018
Williams,Everton FC,3640000,2018
Begovic,AFC Bournemouth,3640000,2018
Austin,Southampton FC,3640000,2018
Smalling,Manchester United,3640000,2018
Zappacosta,Chelsea FC,3640000,2018
Klaassen,Everton FC,3640000,2018
Forster,Southampton FC,3640000,2018
Shelvey,Newcastle United,3640000,2018
Wimmer,Stoke City,3640000,2018
Baines,Everton FC,3640000,2018
Perez,Arsenal FC,3640000,2018
Lanzini,West Ham United,3640000,2018
Antonio,West Ham United,3640000,2018
Clyne,Liverpool FC,3640000,2018
Bertrand,Southampton FC,3640000,2018
Aurier,Tottenham Hotspur,3640000,2018
Romero,Manchester United,3640000,2018
Reid,West Ham United,3640000,2018
Lallana,Liverpool FC,3380000,2018
Musa,Leicester City,3380000,2018
Chilwell,Leicester City,3380000,2018
Soares,Southampton FC,3380000,2018
Moraes,Manchester City,3380000,2018
Maxim Choupo-Moting,Stoke City,3380000,2018
Evans,West Bromwich Albion,3380000,2018
Trippier,Tottenham Hotspur,3380000,2018
Diouf,Stoke City,3380000,2018
Lemina,Southampton FC,3380000,2018
Monreal,Arsenal FC,3380000,2018
Romeu,Southampton FC,3380000,2018
Ramírez,Everton FC,3380000,2018
Boufal,Southampton FC,3380000,2018
Deeney,Watford FC,3380000,2018
Wanyama,Tottenham Hotspur,3380000,2018
Shaqiri,Stoke City,3380000,2018
Mitrovic,Newcastle United,3120000,2018
Davies,Tottenham Hotspur,3120000,2018
Foster,West Bromwich Albion,3120000,2018
Martins Indi,Stoke City,3120000,2018
Tosun,Everton FC,3120000,2018
Kouyate,West Ham United,3120000,2018
Yacob,West Bromwich Albion,3120000,2018
Wickham,Crystal Palace,3120000,2018
Rose,Tottenham Hotspur,3120000,2018
Sanchez,Tottenham Hotspur,3120000,2018
Tadic,Southampton FC,3120000,2018
Dier,Tottenham Hotspur,3120000,2018
Barry,West Bromwich Albion,3120000,2018
Rodriguez,West Bromwich Albion,3120000,2018
Terry,Aston Villa,3120000,2018
Pickford,Everton FC,3120000,2018
Salomon Rondon,West Bromwich Albion,3120000,2018
Iheanacho,Leicester City,3120000,2018
Keane,Everton FC,3120000,2018
Chadli,West Bromwich Albion,3120000,2018
Redmond,Southampton FC,3120000,2018
Giroud,Chelsea FC,3120000,2018
Dann,Crystal Palace,3120000,2018
Long,Southampton FC,3120000,2018
Mignolet,Liverpool FC,3120000,2018
Davis,Southampton FC,3120000,2018
Morgan,Leicester City,3120000,2018
Hoedt,Southampton FC,3120000,2018
Abraham,Chelsea FC,3000000,2018
Schlupp,Crystal Palace,2912000,2018
Townsend,Crystal Palace,2860000,2018
Sako,Crystal Palace,2860000,2018
Fletcher,Stoke City,2860000,2018
Alli,Tottenham Hotspur,2860000,2018
Gray,Leicester City,2860000,2018
Riedewald,Crystal Palace,2860000,2018
Gibbs,West Bromwich Albion,2860000,2018
Milivojevic,Crystal Palace,2860000,2018
Elneny,Arsenal FC,2860000,2018
Dembele,Tottenham Hotspur,2860000,2018
Niasse,Everton FC,2860000,2018
Van Aanholt,Crystal Palace,2860000,2018
Obiang,West Ham United,2860000,2018
Klavan,Liverpool FC,2860000,2018
Shawcross,Stoke City,2860000,2018
Iborra,Leicester City,2860000,2018
Dragovic,Leicester City,2652000,2018
Cresswell,West Ham United,2600000,2018
Mooy,Huddersfield Town,2600000,2018
San Miguel del Castillo,West Ham United,2600000,2018
Robertson,Liverpool FC,2600000,2018
Chambers,Arsenal FC,2600000,2018
Fuchs,Leicester City,2600000,2018
Imbula,Stoke City,2600000,2018
McArthur,Crystal Palace,2600000,2018
McCarthy,Everton FC,2600000,2018
Tomkins,Crystal Palace,2600000,2018
Allen,Stoke City,2600000,2018
Ayew,Swansea City,2600000,2018
Clasie,Southampton FC,2600000,2018
Fabianski,Swansea City,2600000,2018
Noble,West Ham United,2600000,2018
Zarate,Watford FC,2600000,2018
Yoshida,Southampton FC,2600000,2018
Mendy,Leicester City,2600000,2018
Jagielka,Everton FC,2600000,2018
Hojbjerg,Southampton FC,2600000,2018
Barkley,Chelsea FC,2600000,2018
Clucas,Swansea City,2600000,2018
Walcott,Everton FC,2600000,2018
Cleverley,Watford FC,2600000,2018
Mesa,Swansea City,2548000,2018
Krkic,Stoke City,2496000,2018
Stephens,Southampton FC,2496000,2018
Livermore,West Bromwich Albion,2392000,2018
Rodríguez Ruiz,Stoke City,2392000,2018
Perez,Newcastle United,2340000,2018
Jenkinson,Arsenal FC,2340000,2018
Brunt,West Bromwich Albion,2340000,2018
Simpson,Leicester City,2340000,2018
Janmaat,Watford FC,2340000,2018
Propper,Brighton & Hove Albion,2340000,2018
Nketiah,Arsenal FC,2340000,2018
Can,Liverpool FC,2340000,2018
Baston,Swansea City,2340000,2018
Gueye,Everton FC,2340000,2018
Ward-Prowse,Southampton FC,2340000,2018
Izquierdo,Brighton & Hove Albion,2340000,2018
King,AFC Bournemouth,2340000,2018
Fer,Swansea City,2340000,2018
Albrighton,Leicester City,2340000,2018
Moreno,Manchester City,2340000,2018
Ritchie,Newcastle United,2340000,2018
Darmian,Manchester United,2340000,2018
Diame,Newcastle United,2340000,2018
Amrabat,Watford FC,2340000,2018
Pereyra,Watford FC,2340000,2018
Prodl,Watford FC,2340000,2018
Cook,AFC Bournemouth,2340000,2018
Fernandez,Swansea City,2236000,2018
Moreno,Liverpool FC,2080000,2018
McCarthy,Southampton FC,2080000,2018
King,Leicester City,2080000,2018
Masuaku,West Ham United,2080000,2018
Boruc,AFC Bournemouth,2080000,2018
Dawson,West Bromwich Albion,2080000,2018
Ospina,Arsenal FC,2080000,2018
Gayle,Newcastle United,2080000,2018
Arter,AFC Bournemouth,2080000,2018
Maguire,Leicester City,2080000,2018
Lansbury,Aston Villa,2080000,2018
Lascelles,Newcastle United,2080000,2018
Morrison,West Bromwich Albion,2080000,2018
Pied,Southampton FC,2080000,2018
Mato,Newcastle United,2080000,2018
Zouma,Chelsea FC,2080000,2018
Phillips,West Bromwich Albion,2080000,2018
Vorm,Tottenham Hotspur,2080000,2018
Ake,AFC Bournemouth,2080000,2018
Crouch,Stoke City,2080000,2018
Funes Mori,Everton FC,2080000,2018
Snodgrass,West Ham United,2080000,2018
Gallagher,Southampton FC,2080000,2018
Hennessey,Crystal Palace,2080000,2018
Caballero,Chelsea FC,2080000,2018
Benalouane,Leicester City,2080000,2018
Pieters,Stoke City,1976000,2018
Lejeune,Newcastle United,1976000,2018
Ibe,AFC Bournemouth,1976000,2018
Britton,Swansea City,1976000,2018
Huth,Leicester City,1976000,2018
Coleman,Everton FC,1976000,2018
Moura,Tottenham Hotspur,1950000,2018
Ki,Swansea City,1872000,2018
Routledge,Swansea City,1872000,2018
Lennon,Burnley FC,1820000,2018
Smith,AFC Bournemouth,1820000,2018
Nyom,West Bromwich Albion,1820000,2018
Christensen,Chelsea FC,1820000,2018
Surman,AFC Bournemouth,1820000,2018
Knockaert,Brighton & Hove Albion,1820000,2018
Mbemba,Newcastle United,1820000,2018
Adam,Stoke City,1820000,2018
Daniels,AFC Bournemouth,1820000,2018
Wood,Burnley FC,1820000,2018
Clark,Newcastle United,1820000,2018
Martina,Everton FC,1820000,2018
Gosling,AFC Bournemouth,1820000,2018
McAuley,West Bromwich Albion,1820000,2018
N'Koudou,Tottenham Hotspur,1820000,2018
Saivet,Newcastle United,1820000,2018
Gomes,Watford FC,1820000,2018
Butland,Stoke City,1820000,2018
Colback,Newcastle United,1820000,2018
Cork,Burnley FC,1820000,2018
Collins,Brentford FC,1820000,2018
Puncheon,Crystal Palace,1820000,2018
Manquillo,Newcastle United,1820000,2018
Hendrick,Burnley FC,1820000,2018
Gamez,Newcastle United,1820000,2018
Ward,Crystal Palace,1820000,2018
Ruddy,Wolverhampton Wanderers,1820000,2018
Kodjia,Aston Villa,1820000,2018
Depoitre,Huddersfield Town,1820000,2018
Markovic,Liverpool FC,1820000,2018
Dunk,Brighton & Hove Albion,1820000,2018
Bettinelli,Fulham FC,1820000,2018
Ryan,Brighton & Hove Albion,1820000,2018
Targett,Southampton FC,1820000,2018
Sels,Newcastle United,1820000,2018
Merino,Newcastle United,1820000,2018
Chalobah,Watford FC,1820000,2018
Pope,Burnley FC,1820000,2018
Ndidi,Leicester City,1820000,2018
Brady,Burnley FC,1820000,2018
Loftus-Cheek,Chelsea FC,1820000,2018
Okazaki,Leicester City,1820000,2018
Okaka,Watford FC,1820000,2018
Mounie,Huddersfield Town,1820000,2018
Defour,Burnley FC,1820000,2018
Krul,Brighton & Hove Albion,1820000,2018
Carroll,Swansea City,1820000,2018
Heaton,Burnley FC,1820000,2018
Kaboul,Watford FC,1820000,2018
Capoue,Watford FC,1820000,2018
Janssen,Tottenham Hotspur,1768000,2018
Flanagan,Liverpool FC,1716000,2018
Muniesa,Stoke City,1716000,2018
Olsson,Swansea City,1716000,2018
Jorgensen,Huddersfield Town,1716000,2018
Laporte,Manchester City,1690000,2018
Costa,Wolverhampton Wanderers,1690000,2018
Rangel,Swansea City,1664000,2018
Schelotto,Brighton & Hove Albion,1664000,2018
Naughton,Swansea City,1664000,2018
James,Leicester City,1664000,2018
Dyer,Swansea City,1664000,2018
Taylor,Aston Villa,1664000,2018
de Andrade,Watford FC,1664000,2018
Westwood,Burnley FC,1612000,2018
Onyekuru,Everton FC,1612000,2018
Zhang,West Bromwich Albion,1612000,2018
Federici,AFC Bournemouth,1560000,2018
Iwobi,Arsenal FC,1560000,2018
Pritchard,Huddersfield Town,1560000,2018
Pereira,Manchester United,1560000,2018
Kapustka,Leicester City,1560000,2018
Saltor Grau,Brighton & Hove Albion,1560000,2018
Wilson,AFC Bournemouth,1560000,2018
Atsu,Newcastle United,1560000,2018
Kabasele,Watford FC,1560000,2018
Stephens,Brighton & Hove Albion,1560000,2018
Williams,Huddersfield Town,1560000,2018
Yedlin,Newcastle United,1560000,2018
Fernandes,West Ham United,1560000,2018
Carvalho,Chelsea FC,1560000,2018
Gardos,Southampton FC,1560000,2018
Cameron,Stoke City,1560000,2018
