Name,Team,Annual Salary(£),Year
Arter,AFC Bournemouth,260000,2015
Ibe,Liverpool FC,260000,2015
Harrop,Manchester United,260000,2015
Sheehan,Swansea City,260000,2015
Chalobah,Chelsea FC,260000,2015
Walton,Brighton & Hove Albion,208000,2015
Bunn,Huddersfield Town,208000,2015
Wilson,Liverpool FC,208000,2015
Gorre,Swansea City,208000,2015
Bielik,Arsenal FC,208000,2015
Woodman,Newcastle United,156000,2015
Burke,West Ham United,156000,2015
Kaikai,Crystal Palace,156000,2015
Lawrence,Leicester City,156000,2015
Randall,Liverpool FC,104000,2015
Pocognoli,West Bromwich Albion,104000,2015
Wood,Southampton FC,41600,2015
Cornick,AFC Bournemouth,39000,2015
Rooney,Manchester United,15600000,2016
Hazard,Chelsea FC,11700000,2016
Aguero,Manchester City,11440000,2016
Toure,Manchester City,11440000,2016
De Gea,Manchester United,10400000,2016
Costa,Chelsea FC,9620000,2016
Silva,Manchester City,8320000,2016
Mata,Manchester United,8320000,2016
Fàbregas,Chelsea FC,8112000,2016
Terry,Chelsea FC,7800000,2016
De Bruyne,Manchester City,7800000,2016
Sterling,Manchester City,7800000,2016
Nasri,Manchester City,7800000,2016
Kompany,Manchester City,7800000,2016
Sanchez,Arsenal FC,7280000,2016
Benteke,Liverpool FC,7280000,2016
Milner,Liverpool FC,7280000,2016
Ozil,Arsenal FC,7280000,2016
Walcott,Arsenal FC,7280000,2016
Sturridge,Liverpool FC,6760000,2016
Welbeck,Arsenal FC,6500000,2016
Young,Mancherst United,6240000,2016
Otamendi,Manchester City,6240000,2016
Courtois,Chelsea FC,6240000,2016
Vermaelen,Arsenal FC,6237340,2016
Hart,Manchester City,6032000,2016
Herrera,Manchester United,5980000,2016
Ramsey,Arsenal FC,5720000,2016
Martial,Mancherst United,5720000,2016
Shaw,Manchester United,5720000,2016
Rojo,Manchester United,5720000,2016
Mangala,Manchester City,5200000,2016
Luis Roza,Manchester City,5200000,2016
Reges,Manchester City,5200000,2016
Cahill,Chelsea FC,5200000,2016
Vardy,Leicester City,5200000,2016
Henderson,Liverpool FC,5200000,2016
Rodríguez Ledesma,Chelsea FC,5200000,2016
Cech,Arsenal FC,5200000,2016
Firmino,Liverpool FC,5200000,2016
Cazorla,Arsenal FC,5200000,2016
Bony,Manchester City,5200000,2016
Szczesny,Arsenal FC,5200000,2016
Carroll,West Ham United,4680000,2016
Wilshere,Arsenal FC,4680000,2016
Remy,Chelsea FC,4680000,2016
Matic,Chelsea FC,4680000,2016
Rahman,Chelsea FC,4472000,2016
Cabaye,Crystal Palace,4472000,2016
Valencia,Manchester United,4420000,2016
Son,Tottenham Hotspur,4420000,2016
Sakho,Liverpool FC,4420000,2016
da Silva,Chelsea FC,4420000,2016
Lamela,Tottenham Hotspur,4160000,2016
Delph,Manchester City,4160000,2016
Fellaini,Manchester United,4160000,2016
Giroud,Arsenal FC,4160000,2016
Lukaku,Everton FC,4160000,2016
Alderweireld,Tottenham Hotspur,4160000,2016
Ivanovic,Chelsea FC,3900000,2016
Blind,Manchester United,3900000,2016
Ings,Liverpool FC,3900000,2016
Leiva,Liverpool FC,3900000,2016
Debuchy,Arsenal FC,3900000,2016
Jones,Manchester United,3900000,2016
Austin,Southampton FC,3640000,2016
Smalling,Manchester United,3640000,2016
Defoe,Sheffield United,3640000,2016
Shelvey,Newcastle United,3640000,2016
Mirallas,Everton FC,3640000,2016
Clyne,Liverpool FC,3640000,2016
Mertesacker,Arsenal FC,3640000,2016
Coutinho,Liverpool FC,3640000,2016
Kolarov,Manchester City,3588000,2016
Lallana,Liverpool FC,3380000,2016
Oxlade-Chamberlain,Arsenal FC,3380000,2016
Lovren,Liverpool FC,3380000,2016
Evans,Watford FC,3380000,2016
Diouf,Stoke City,3380000,2016
Monreal,Arsenal FC,3380000,2016
Romero,Manchester United,3380000,2016
Shaqiri,Stoke City,3380000,2016
Baines,Everton FC,3167996,2016
Januzaj,Manchester United,3120000,2016
Mitrovic,Newcastle United,3120000,2016
Ogbonna,West Ham United,3120000,2016
Begovic,Chelsea FC,3120000,2016
