Year,Team,Position,Points,Profit(£),Age,Name,Annual Salary(£)
2015,Swansea City,8,56,80.6,26.6,Fernandez,2236000
2015,Swansea City,8,56,80.6,26.6,Ki,1872000
2015,Swansea City,8,56,80.6,26.6,Routledge,1872000
2015,Swansea City,8,56,80.6,26.6,Cork,1820000
2015,Swansea City,8,56,80.6,26.6,Naughton,1664000
2015,Swansea City,8,56,80.6,26.6,Bartley,780000
2015,Swansea City,8,56,80.6,26.6,Sheehan,260000
2015,Swansea City,8,56,80.6,26.6,Gorre,208000
2015,Stoke City,9,54,77.8,27.4,Diouf,3380000
2015,Stoke City,9,54,77.8,27.4,Shawcross,2340000
2015,Stoke City,9,54,77.8,27.4,Ireland,1716000
2015,Stoke City,9,54,77.8,27.4,Bardsley,1612000
2015,Stoke City,9,54,77.8,27.4,Begovic,1040000
2015,Crystal Palace,10,48,77.3,27.8,Campbell,1820000
2015,Crystal Palace,10,48,77.3,27.8,Mutch,1456000
2015,Crystal Palace,10,48,77.3,27.8,Lee,1300000
2015,Crystal Palace,10,48,77.3,27.8,Ledley,1300000
2015,Crystal Palace,10,48,77.3,27.8,Kelly,1300000
2015,Crystal Palace,10,48,77.3,27.8,Hennessey,1040000
2015,Crystal Palace,10,48,77.3,27.8,Fryers,1040000
2015,Crystal Palace,10,48,77.3,27.8,Williams,780000
2015,Crystal Palace,10,48,77.3,27.8,Kaikai,156000
2015,Everton FC,11,47,80.6,27.9,Lukaku,4160000
2015,Everton FC,11,47,80.6,27.9,Baines,3167996
2015,Everton FC,11,47,80.6,27.9,Barkley,2496000
2015,Everton FC,11,47,80.6,27.9,Mirallas,2340000
2015,Everton FC,11,47,80.6,27.9,McGeady,2184000
2015,Everton FC,11,47,80.6,27.9,Coleman,1976000
2015,Everton FC,11,47,80.6,27.9,Kone,1300000
2015,Everton FC,11,47,80.6,27.9,McCarthy,1300000
2015,Everton FC,11,47,80.6,27.9,Besic,1300000
2015,Everton FC,11,47,80.6,27.9,Galloway,1196000
2015,Everton FC,11,47,80.6,27.9,Robles,1040000
2015,West Ham United,12,47,76.3,26.8,Carroll,4680000
2015,West Ham United,12,47,76.3,26.8,Reid,3120000
