Year,Position,Profit(£),Age,Height(cm),team_encode
2023,8,134.0,27.6,183.83,29
2023,9,131.5,26.2,183.42,3
2023,10,130.6,28.2,185.8,10
2023,11,128.2,26.7,184.03,8
2023,12,124.3,26.3,184.73,7
2023,13,123.3,26.7,184.44,33
2023,14,121.0,28.2,184.33,32
2023,15,120.4,26.3,183.15,0
2023,16,116.1,26.5,183.49,22
2023,17,113.3,26.6,185.06,9
2023,18,106.1,26.1,183.06,14
2023,19,104.6,25.3,184.18,13
2023,20,100.3,24.7,182.3,25
2024,1,176.2,26.6,182.73,17
2024,2,172.2,25.0,182.68,1
2024,3,168.3,26.3,184.66,15
2024,4,164.3,26.9,184.3,2
2024,5,162.9,25.2,183.43,29
2024,6,149.7,24.2,183.7,7
2024,7,148.3,27.2,185.39,20
2024,8,151.9,26.1,183.61,18
2024,9,138.7,28.3,184.0,32
2024,10,138.1,26.7,184.24,8
2024,11,133.3,25.9,182.93,4
2024,12,137.3,25.7,183.11,0
2024,13,124.6,28.4,185.5,10
2024,14,129.0,26.6,184.04,33
2024,15,117.5,27.1,184.96,9
2024,16,118.6,26.6,184.64,3
2024,17,120.5,25.7,185.26,22
2024,18,114.0,26.7,183.47,16
2024,19,111.7,24.5,185.04,5
2024,20,103.6,25.7,183.58,24
